,,Atlanta,Atlanta,Atlanta,Atlanta,Chicago,Chicago,Chicago,Chicago,Nashville,Nashville,Nashville,Nashville,LA,LA,LA,LA,NY,NY,NY,NY
Thu,7/13/2017,2253,9277,-7024,44003,1530,5575,-4045,40189,5299,5253,46,100047,8063,0,8063,67062,2941,702,2239,87509
Fri,7/14/2017,3762,7985,-4223,39780,0,6593,-6593,33596,0,2151,-2151,97896,11761,0,11761,78823,0,2260,-2260,85249
Sat,7/15/2017,2046,0,2046,41826,0,2658,-2658,30938,3035,7409,-4374,93522,5569,3137,2432,81255,7715,5197,2518,87767
Sun,7/16/2017,991,3114,-2123,39703,2893,3613,-720,30218,5713,6127,-414,93108,5859,4425,1434,82689,0,3780,-3780,83987
Mon,7/17/2017,8241,824,7417,47120,0,0,0,30218,6628,3463,3165,96273,6854,7748,-894,81795,2294,7739,-5445,78542
Tue,7/18/2017,9322,3608,5714,52834,0,0,0,30218,5298,8524,-3226,93047,1363,0,1363,83158,1770,0,1770,80312
Wed,7/19/2017,0,779,-779,52055,1604,4904,-3300,26918,2669,10535,-7866,85181,877,5089,-4212,78946,5644,8555,-2911,77401
Thu,7/20/2017,3833,5041,-1208,50847,1867,0,1867,28785,0,17395,-17395,67786,0,4118,-4118,74828,2507,0,2507,79908
Fri,7/21/2017,1660,0,1660,52507,4128,0,4128,32913,3870,1173,2697,70483,2004,2362,-358,74470,6167,13340,-7173,72735
Sat,7/22/2017,5538,0,5538,58045,3858,6339,-2481,30432,1501,5503,-4002,66481,11611,5252,6359,80829,1162,7007,-5845,66890
Sun,7/23/2017,1412,3037,-1625,56420,2169,2305,-136,30296,12580,0,12580,79061,10173,1473,8700,89529,2472,1332,1140,68030
Mon,7/24/2017,0,0,0,56420,0,1262,-1262,29034,2071,3457,-1386,77675,1755,0,1755,91284,0,3152,-3152,64878
Tue,7/25/2017,0,0,0,56420,0,0,0,29034,2111,10042,-7931,69744,0,19411,-19411,71873,17278,7170,10108,74986
Wed,7/26/2017,1111,3563,-2452,53968,5512,2443,3069,32103,4719,1759,2960,72704,5152,2440,2712,74585,8517,2880,5637,80623
Thu,7/27/2017,0,0,0,53968,11456,0,11456,43559,11486,8622,2864,75568,3165,8714,-5549,69036,3923,1609,2314,82937
Fri,7/28/2017,1119,8018,-6899,47069,7996,1110,6886,50445,7964,1434,6530,82098,4147,1422,2725,71761,4772,3813,959,83896
Sat,7/29/2017,0,3735,-3735,43334,3066,2656,410,50855,1147,4523,-3376,78722,2492,4962,-2470,69291,10982,6745,4237,88133
Sun,7/30/2017,0,2253,-2253,41081,8756,2772,5984,56839,689,5357,-4668,74054,5536,5087,449,69740,2060,11177,-9117,79016
Mon,7/31/2017,0,0,0,41081,5109,1604,3505,60344,6205,2126,4079,78133,3813,5084,-1271,68469,7778,3299,4479,83495
Tue,8/1/2017,6538,2509,4029,45110,3795,0,3795,64139,7616,1832,5784,83917,4381,0,4381,72850,3079,2472,607,84102
Wed,8/2/2017,4863,3703,1160,46270,3598,896,2702,66841,4735,7019,-2284,81633,6132,5088,1044,73894,1604,5857,-4253,79849
Thu,8/3/2017,8452,10133,-1681,44589,4139,6503,-2364,64477,9417,9289,128,81761,1223,1461,-238,73656,5519,3391,2128,81977
Fri,8/4/2017,2711,1412,1299,45888,11089,0,11089,75566,6460,0,6460,88221,7384,2172,5212,78868,0,3180,-3180,78797
Sat,8/5/2017,0,5940,-5940,39948,5938,866,5072,80638,12470,8874,3596,91817,6476,9167,-2691,76177,2224,5668,-3444,75353
Sun,8/6/2017,6556,1488,5068,45016,8940,4405,4535,85173,1440,0,1440,93257,7781,3508,4273,80450,10247,0,10247,85600
Mon,8/7/2017,3077,0,3077,48093,9190,2616,6574,91747,15888,3056,12832,106089,0,5459,-5459,74991,6143,6647,-504,85096
Tue,8/8/2017,3728,6773,-3045,45048,9605,0,9605,101352,0,7703,-7703,98386,10067,1400,8667,83658,4119,5981,-1862,83234
Wed,8/9/2017,10664,0,10664,55712,2019,1475,544,101896,6495,4409,2086,100472,2943,3352,-409,83249,1965,5984,-4019,79215
Thu,8/10/2017,2229,0,2229,57941,9085,0,9085,110981,6342,12002,-5660,94812,2193,5980,-3787,79462,0,0,0,79215
Fri,8/11/2017,8764,0,8764,66705,4145,9674,-5529,105452,1098,7528,-6430,88382,3398,6583,-3185,76277,10535,4772,5763,84978
Sat,8/12/2017,1980,0,1980,68685,10395,1217,9178,114630,6025,0,6025,94407,6344,16116,-9772,66505,0,5368,-5368,79610
Sun,8/13/2017,14750,3813,10937,79622,4269,7193,-2924,111706,0,0,0,94407,0,2038,-2038,64467,9476,2060,7416,87026
Mon,8/14/2017,5213,1874,3339,82961,8500,4744,3756,115462,3220,9935,-6715,87692,5705,0,5705,70172,7327,10523,-3196,83830
Tue,8/15/2017,0,0,0,82961,821,4374,-3553,111909,5354,11274,-5920,81772,5935,10004,-4069,66103,7823,5428,2395,86225
Wed,8/16/2017,3115,1660,1455,84416,6096,7090,-994,110915,0,8012,-8012,73760,15398,2872,12526,78629,0,4727,-4727,81498
Thu,8/17/2017,6442,4640,1802,86218,2644,4169,-1525,109390,5422,7047,-1625,72135,1166,3695,-2529,76100,1330,14164,-12834,68664
Fri,8/18/2017,8705,0,8705,94923,0,4715,-4715,104675,8849,3202,5647,77782,7334,4381,2953,79053,7896,0,7896,76560
Sat,8/19/2017,2185,0,2185,97108,0,8407,-8407,96268,3620,9819,-6199,71583,2700,1765,935,79988,1657,1612,45,76605
Sun,8/20/2017,3093,5431,-2338,94770,4411,3350,1061,97329,5168,3359,1809,73392,5649,2539,3110,83098,0,0,0,76605
Mon,8/21/2017,7518,0,7518,102288,1816,0,1816,99145,7143,5891,1252,74644,0,1223,-1223,81875,4458,2283,2175,78780
Tue,8/22/2017,979,0,979,103267,8159,10417,-2258,96887,3241,3717,-476,74168,5352,0,5352,87227,4607,6919,-2312,76468
Wed,8/23/2017,4682,12644,-7962,95305,7073,6872,201,97088,10848,2493,8355,82523,9752,6701,3051,90278,2609,1992,617,77085
Thu,8/24/2017,13079,3497,9582,104887,9996,14164,-4168,92920,4365,0,4365,86888,1024,2123,-1099,89179,2903,3767,-864,76221
Fri,8/25/2017,10289,7527,2762,107649,10607,8292,2315,95235,2936,6189,-3253,83635,2379,1847,532,89711,8411,2224,6187,82408
Sat,8/26/2017,0,5618,-5618,102031,0,2827,-2827,92408,4763,3695,1068,84703,4083,9356,-5273,84438,6021,0,6021,88429
Sun,8/27/2017,10272,4696,5576,107607,13469,5313,8156,100564,1435,8080,-6645,78058,4212,3801,411,84849,3527,0,3527,91956
Mon,8/28/2017,7306,4727,2579,110186,5197,2284,2913,103477,14524,7751,6773,84831,13545,14284,-739,84110,3821,7356,-3535,88421
Tue,8/29/2017,0,1582,-1582,108604,4597,0,4597,108074,14204,11417,2787,87618,6954,3153,3801,87911,2587,4659,-2072,86349
Wed,8/30/2017,3950,1681,2269,110873,3880,3288,592,108666,0,2880,-2880,84738,6055,11107,-5052,82859,7787,9578,-1791,84558
Thu,8/31/2017,0,2316,-2316,108557,12657,7040,5617,114283,1837,0,1837,86575,0,2277,-2277,80582,5250,5868,-618,83940
Fri,9/1/2017,1758,6203,-4445,104112,4570,5263,-693,113590,9198,8563,635,87210,5091,3313,1778,82360,4190,10807,-6617,77323
Sat,9/2/2017,13805,4587,9218,113330,7879,1873,6006,119596,12161,5351,6810,94020,6060,5444,616,82976,0,17504,-17504,59819
Sun,9/3/2017,10176,9920,256,113586,1108,14002,-12894,106702,1998,1814,184,94204,4198,0,4198,87174,1063,0,1063,60882
Mon,9/4/2017,1390,6964,-5574,108012,10645,6255,4390,111092,11445,0,11445,105649,0,5946,-5946,81228,7495,1657,5838,66720
Tue,9/5/2017,6329,7811,-1482,106530,4546,6469,-1923,109169,4960,3887,1073,106722,4563,4543,20,81248,4864,4255,609,67329
Wed,9/6/2017,1174,9072,-7898,98632,11801,7311,4490,113659,8076,1030,7046,113768,0,2082,-2082,79166,3119,1883,1236,68565
Thu,9/7/2017,5364,10518,-5154,93478,6312,6529,-217,113442,12312,5134,7178,120946,0,3787,-3787,75379,0,4468,-4468,64097
Fri,9/8/2017,7253,5932,1321,94799,13447,8388,5059,118501,0,1098,-1098,119848,6242,5067,1175,76554,2850,0,2850,66947
Sat,9/9/2017,6159,3530,2629,97428,4534,0,4534,123035,8005,5024,2981,122829,1346,3081,-1735,74819,2657,2347,310,67257
Sun,9/10/2017,4556,5937,-1381,96047,2356,3794,-1438,121597,10195,0,10195,133024,0,676,-676,74143,7038,1739,5299,72556
Mon,9/11/2017,4640,4941,-301,95746,10688,5192,5496,127093,7962,9515,-1553,131471,6538,1166,5372,79515,0,2186,-2186,70370
Tue,9/12/2017,0,712,-712,95034,3463,6095,-2632,124461,3748,2068,1680,133151,10299,3942,6357,85872,0,2407,-2407,67963
Wed,9/13/2017,0,9805,-9805,85229,0,8397,-8397,116064,4933,3370,1563,134714,3513,2632,881,86753,951,6882,-5931,62032
Thu,9/14/2017,5579,3121,2458,87687,7799,9775,-1976,114088,15097,11469,3628,138342,2839,9048,-6209,80544,2942,2609,333,62365
Fri,9/15/2017,2678,9458,-6780,80907,0,4283,-4283,109805,5563,1372,4191,142533,1776,2766,-990,79554,0,6309,-6309,56056
Sat,9/16/2017,11742,11110,632,81539,2167,10870,-8703,101102,2878,4894,-2016,140517,9231,3897,5334,84888,1579,0,1579,57635
Sun,9/17/2017,3604,2753,851,82390,4931,0,4931,106033,0,13158,-13158,127359,7700,2700,5000,89888,7082,3056,4026,61661
Mon,9/18/2017,9204,4743,4461,86851,17928,10099,7829,113862,6761,4109,2652,130011,1363,9526,-8163,81725,3067,1644,1423,63084
Tue,9/19/2017,5124,932,4192,91043,4732,13378,-8646,105216,5129,6034,-905,129106,3461,0,3461,85186,2202,5685,-3483,59601
Wed,9/20/2017,776,10452,-9676,81367,6182,5237,945,106161,6462,8652,-2190,126916,0,10659,-10659,74527,0,0,0,59601
Thu,9/21/2017,7443,1787,5656,87023,3616,9911,-6295,99866,0,7818,-7818,119098,0,1568,-1568,72959,8165,9932,-1767,57834
Fri,9/22/2017,4328,6487,-2159,84864,0,10985,-10985,88881,1885,8858,-6973,112125,5075,7578,-2503,70456,7916,5201,2715,60549
Sat,9/23/2017,8523,5099,3424,88288,6113,0,6113,94994,5958,9338,-3380,108745,0,13369,-13369,57087,850,5290,-4440,56109
Sun,9/24/2017,2257,8022,-5765,82523,1511,9662,-8151,86843,2488,7758,-5270,103475,6604,2373,4231,61318,4643,0,4643,60752
Mon,9/25/2017,856,6022,-5166,77357,14780,2342,12438,99281,4505,11318,-6813,96662,3192,5124,-1932,59386,0,2623,-2623,58129
Tue,9/26/2017,1876,0,1876,79233,5364,0,5364,104645,3404,3262,142,96804,9830,2882,6948,66334,12071,6007,6064,64193
Wed,9/27/2017,6323,5746,577,79810,2187,1679,508,105153,7682,2077,5605,102409,6423,0,6423,72757,2355,4190,-1835,62358
Thu,9/28/2017,6830,4978,1852,81662,1601,8567,-6966,98187,1901,0,1901,104310,1751,4382,-2631,70126,0,1579,-1579,60779
Fri,9/29/2017,6333,2985,3348,85010,1896,10477,-8581,89606,13307,8645,4662,108972,4399,0,4399,74525,3945,5311,-1366,59413
Sat,9/30/2017,7909,11587,-3678,81332,0,4744,-4744,84862,1489,9085,-7596,101376,0,3526,-3526,70999,4469,6786,-2317,57096
Sun,10/1/2017,4486,11252,-6766,74566,0,1860,-1860,83002,2192,3034,-842,100534,6322,2213,4109,75108,21098,0,21098,78194
Mon,10/2/2017,9177,0,9177,83743,0,16920,-16920,66082,4225,7600,-3375,97159,6177,0,6177,81285,2180,4550,-2370,75824
Tue,10/3/2017,7268,776,6492,90235,0,5776,-5776,60306,0,7686,-7686,89473,0,6260,-6260,75025,3041,2500,541,76365
Wed,10/4/2017,5009,2766,2243,92478,0,6301,-6301,54005,7697,5246,2451,91924,2367,3669,-1302,73723,8461,0,8461,84826
Thu,10/5/2017,0,1099,-1099,91379,3206,6580,-3374,50631,5865,8498,-2633,89291,0,6547,-6547,67176,8783,6103,2680,87506
Fri,10/6/2017,2421,8895,-6474,84905,3654,10346,-6692,43939,11713,5728,5985,95276,2576,0,2576,69752,2491,0,2491,89997
Sat,10/7/2017,2186,4653,-2467,82438,5513,2863,2650,46589,1515,10530,-9015,86261,8670,14844,-6174,63578,9273,2657,6616,96613
Sun,10/8/2017,9689,1379,8310,90748,2024,2107,-83,46506,3272,1636,1636,87897,7414,0,7414,70992,483,7968,-7485,89128
Mon,10/9/2017,1678,5392,-3714,87034,3009,1511,1498,48004,8789,5081,3708,91605,7081,1260,5821,76813,5420,3587,1833,90961
Tue,10/10/2017,4374,3187,1187,88221,2079,3571,-1492,46512,6347,11281,-4934,86671,4871,0,4871,81684,0,1510,-1510,89451
Wed,10/11/2017,5653,5905,-252,87969,5419,0,5419,51931,3131,10092,-6961,79710,2972,2210,762,82446,8201,9183,-982,88469
Thu,10/12/2017,3816,5977,-2161,85808,7349,3823,3526,55457,5091,0,5091,84801,8705,0,8705,91151,4895,2815,2080,90549
Fri,10/13/2017,7735,2421,5314,91122,1509,1424,85,55542,6793,2458,4335,89136,0,2980,-2980,88171,0,7442,-7442,83107
Sat,10/14/2017,17367,5245,12122,103244,1888,4638,-2750,52792,7506,7238,268,89404,11987,5767,6220,94391,3646,4908,-1262,81845
Sun,10/15/2017,3166,5716,-2550,100694,1329,3249,-1920,50872,4697,7827,-3130,86274,4221,9761,-5540,88851,4872,5877,-1005,80840
Mon,10/16/2017,4767,10564,-5797,94897,9064,5265,3799,54671,2099,5393,-3294,82980,5584,8370,-2786,86065,0,3524,-3524,77316
Tue,10/17/2017,2264,3433,-1169,93728,12443,4695,7748,62419,5282,8505,-3223,79757,15514,10401,5113,91178,9310,4836,4474,81790
Wed,10/18/2017,3258,819,2439,96167,1446,1620,-174,62245,1612,0,1612,81369,0,3717,-3717,87461,0,6257,-6257,75533
Thu,10/19/2017,8889,4662,4227,100394,1479,2015,-536,61709,5393,3363,2030,83399,3270,5694,-2424,85037,5829,6226,-397,75136
Fri,10/20/2017,6987,2011,4976,105370,5636,8812,-3176,58533,10943,2711,8232,91631,3958,0,3958,88995,0,7072,-7072,68064
Sat,10/21/2017,1833,2529,-696,104674,1634,0,1634,60167,0,3595,-3595,88036,1650,5781,-4131,84864,1645,1962,-317,67747
Sun,10/22/2017,6342,6222,120,104794,1504,2187,-683,59484,0,5587,-5587,82449,0,0,0,84864,7877,4499,3378,71125
Mon,10/23/2017,2738,3238,-500,104294,5083,1896,3187,62671,10673,3614,7059,89508,3018,4269,-1251,83613,8979,3900,5079,76204
Tue,10/24/2017,7845,1607,6238,110532,2822,1379,1443,64114,4585,2456,2129,91637,0,2081,-2081,81532,7668,4895,2773,78977
Wed,10/25/2017,1881,11689,-9808,100724,4826,950,3876,67990,10025,8990,1035,92672,4521,11240,-6719,74813,6626,0,6626,85603
Thu,10/26/2017,7603,3834,3769,104493,5213,3654,1559,69549,4761,4584,177,92849,6174,10730,-4556,70257,0,768,-768,84835
Fri,10/27/2017,1417,3762,-2345,102148,3019,3532,-513,69036,7288,5060,2228,95077,5752,3001,2751,73008,8107,7546,561,85396
Sat,10/28/2017,7300,11116,-3816,98332,3533,4615,-1082,67954,0,0,0,95077,12494,1625,10869,83877,0,2204,-2204,83192
Sun,10/29/2017,5501,1247,4254,102586,0,0,0,67954,5577,16924,-11347,83730,4528,1160,3368,87245,7516,3141,4375,87567
Mon,10/30/2017,1974,6814,-4840,97746,7325,3401,3924,71878,935,0,935,84665,10601,0,10601,97846,1281,6964,-5683,81884
Tue,10/31/2017,0,4333,-4333,93413,9425,4072,5353,77231,7617,3403,4214,88879,5863,3018,2845,100691,7092,6698,394,82278
Wed,11/1/2017,1146,9191,-8045,85368,9344,1769,7575,84806,1438,6927,-5489,83390,1959,7287,-5328,95363,0,0,0,82278
Thu,11/2/2017,0,0,0,85368,3326,0,3326,88132,2498,3131,-633,82757,6380,10076,-3696,91667,2644,1723,921,83199
Fri,11/3/2017,11509,17657,-6148,79220,4666,2498,2168,90300,1709,8333,-6624,76133,1354,5053,-3699,87968,1008,0,1008,84207
Sat,11/4/2017,0,2738,-2738,76482,10603,1479,9124,99424,0,3805,-3805,72328,1794,1650,144,88112,4016,0,4016,88223
Sun,11/5/2017,8413,1678,6735,83217,0,1044,-1044,98380,9252,3235,6017,78345,2176,6574,-4398,83714,3014,6076,-3062,85161
Mon,11/6/2017,7396,4757,2639,85856,0,11321,-11321,87059,1468,10515,-9047,69298,5369,9147,-3778,79936,6689,19393,-12704,72457
Tue,11/7/2017,1563,1620,-57,85799,1377,2467,-1090,85969,6165,1941,4224,73522,3242,10964,-7722,72214,1781,8819,-7038,65419
Wed,11/8/2017,2762,5840,-3078,82721,5850,7973,-2123,83846,6263,1450,4813,78335,9679,2676,7003,79217,1631,0,1631,67050
Thu,11/9/2017,0,8133,-8133,74588,15363,9784,5579,89425,1767,4989,-3222,75113,9585,0,9585,88802,5163,9146,-3983,63067
Fri,11/10/2017,5923,5953,-30,74558,0,0,0,89425,3888,0,3888,79001,3828,2864,964,89766,8387,4931,3456,66523
Sat,11/11/2017,2154,6739,-4585,69973,12819,5177,7642,97067,9991,4858,5133,84134,8882,0,8882,98648,2432,0,2432,68955
Sun,11/12/2017,0,404,-404,69569,16127,5315,10812,107879,1894,5413,-3519,80615,7093,2176,4917,103565,9292,3130,6162,75117
Mon,11/13/2017,2559,4548,-1989,67580,6663,9985,-3322,104557,4651,7863,-3212,77403,0,6695,-6695,96870,9115,5513,3602,78719
Tue,11/14/2017,2876,3428,-552,67028,8327,2515,5812,110369,2554,5859,-3305,74098,1789,11798,-10009,86861,4144,1695,2449,81168
Wed,11/15/2017,0,9804,-9804,57224,2420,0,2420,112789,7209,1438,5771,79869,9582,1862,7720,94581,6455,7036,-581,80587
Thu,11/16/2017,0,0,0,57224,7043,3019,4024,116813,1717,3382,-1665,78204,4851,6069,-1218,93363,3691,1976,1715,82302
Fri,11/17/2017,1128,0,1128,58352,6184,7326,-1142,115671,0,8227,-8227,69977,3788,1918,1870,95233,5058,4235,823,83125
Sat,11/18/2017,2937,0,2937,61289,1790,13906,-12116,103555,8981,2095,6886,76863,4124,8545,-4421,90812,3144,6276,-3132,79993
Sun,11/19/2017,4082,5935,-1853,59436,0,3962,-3962,99593,1945,4921,-2976,73887,4928,3723,1205,92017,7867,0,7867,87860
Mon,11/20/2017,2253,11235,-8982,50454,5110,0,5110,104703,4618,0,4618,78505,0,6466,-6466,85551,3848,10756,-6908,80952
Tue,11/21/2017,2646,2762,-116,50338,10402,1854,8548,113251,1963,2628,-665,77840,0,2121,-2121,83430,4763,2336,2427,83379
Wed,11/22/2017,2286,6413,-4127,46211,6515,10799,-4284,108967,3901,7412,-3511,74329,0,6666,-6666,76764,0,1432,-1432,81947
Thu,11/23/2017,2726,8830,-6104,40107,10345,4718,5627,114594,5479,4761,718,75047,0,9008,-9008,67756,4986,0,4986,86933
Fri,11/24/2017,4738,5375,-637,39470,12837,0,12837,127431,2790,1717,1073,76120,0,9350,-9350,58406,1447,4639,-3192,83741
Sat,11/25/2017,10296,3976,6320,45790,2403,1750,653,128084,3706,4107,-401,75719,3645,3583,62,58468,6896,11527,-4631,79110
Sun,11/26/2017,5809,0,5809,51599,8069,9328,-1259,126825,11135,0,11135,86854,0,0,0,58468,7133,2201,4932,84042
Mon,11/27/2017,11212,3569,7643,59242,11246,4487,6759,133584,10441,12534,-2093,84761,2979,3695,-716,57752,2660,5370,-2710,81332
Tue,11/28/2017,7774,0,7774,67016,7875,5793,2082,135666,6723,0,6723,91484,14775,2377,12398,70150,5042,0,5042,86374
Wed,11/29/2017,2826,0,2826,69842,3577,9502,-5925,129741,12028,2886,9142,100626,0,0,0,70150,9557,3445,6112,92486
Thu,11/30/2017,2384,4082,-1698,68144,8965,3547,5418,135159,9657,4553,5104,105730,3558,1645,1913,72063,14597,0,14597,107083
Fri,12/1/2017,8103,0,8103,76247,15298,17212,-1914,133245,0,9561,-9561,96169,7049,4673,2376,74439,5588,2065,3523,110606
Sat,12/2/2017,6028,4922,1106,77353,1447,8534,-7087,126158,4175,755,3420,99589,7057,4901,2156,76595,1699,1498,201,110807
Sun,12/3/2017,8824,2641,6183,83536,3844,11500,-7656,118502,10936,2928,8008,107597,8641,5275,3366,79961,17526,10701,6825,117632
Mon,12/4/2017,1407,1731,-324,83212,0,10807,-10807,107695,6250,6896,-646,106951,2107,4576,-2469,77492,4527,2664,1863,119495
Tue,12/5/2017,9302,7446,1856,85068,7078,6028,1050,108745,2750,9279,-6529,100422,4551,9741,-5190,72302,3532,4228,-696,118799
Wed,12/6/2017,7269,0,7269,92337,4727,10592,-5865,102880,3676,5834,-2158,98264,9706,9661,45,72347,6077,11844,-5767,113032
Thu,12/7/2017,6553,4144,2409,94746,8668,2837,5831,108711,4666,6482,-1816,96448,2013,6863,-4850,67497,4482,15493,-11011,102021
Fri,12/8/2017,2928,7412,-4484,90262,687,17096,-16409,92302,4591,4171,420,96868,3788,6413,-2625,64872,6072,2099,3973,105994
Sat,12/9/2017,2148,3110,-962,89300,3627,6961,-3334,88968,0,3215,-3215,93653,8825,0,8825,73697,2383,0,2383,108377
Sun,12/10/2017,6388,6177,211,89511,6543,4017,2526,91494,8181,0,8181,101834,10204,1619,8585,82282,9497,7151,2346,110723
Mon,12/11/2017,8693,4388,4305,93816,6896,2225,4671,96165,8062,24666,-16604,85230,1163,4115,-2952,79330,0,10840,-10840,99883
Tue,12/12/2017,5585,3198,2387,96203,8114,1997,6117,102282,13066,4371,8695,93925,6332,1745,4587,83917,4797,3335,1462,101345
Wed,12/13/2017,2339,1948,391,96594,7660,1344,6316,108598,14710,4931,9779,103704,3877,7271,-3394,80523,0,16378,-16378,84967
Thu,12/14/2017,9902,0,9902,106496,12127,7177,4950,113548,13049,9116,3933,107637,9799,5818,3981,84504,2419,8105,-5686,79281
Fri,12/15/2017,0,5398,-5398,101098,1070,7808,-6738,106810,6452,5729,723,108360,5494,4236,1258,85762,8541,5465,3076,82357
Sat,12/16/2017,2065,1387,678,101776,0,5572,-5572,101238,7727,1269,6458,114818,8488,0,8488,94250,8120,7489,631,82988
Sun,12/17/2017,6960,6078,882,102658,0,8695,-8695,92543,9327,1800,7527,122345,12064,4403,7661,101911,5310,0,5310,88298
Mon,12/18/2017,4162,11307,-7145,95513,14777,0,14777,107320,2882,3081,-199,122146,3260,0,3260,105171,4298,3920,378,88676
Tue,12/19/2017,0,2148,-2148,93365,9964,1959,8005,115325,11106,6755,4351,126497,4473,0,4473,109644,6789,0,6789,95465
Wed,12/20/2017,10734,8073,2661,96026,0,8635,-8635,106690,1777,5043,-3266,123231,0,2698,-2698,106946,9404,1436,7968,103433
Thu,12/21/2017,0,3308,-3308,92718,5027,0,5027,111717,12490,10096,2394,125625,16103,3500,12603,119549,5770,0,5770,109203
Fri,12/22/2017,7176,9456,-2280,90438,11485,5359,6126,117843,4337,8068,-3731,121894,2826,5406,-2580,116969,7054,6152,902,110105
Sat,12/23/2017,6245,5333,912,91350,0,2023,-2023,115820,3462,3600,-138,121756,4899,0,4899,121868,4633,4261,372,110477
Sun,12/24/2017,0,4997,-4997,86353,3589,8223,-4634,111186,6520,10159,-3639,118117,4386,11652,-7266,114602,13720,6671,7049,117526
Mon,12/25/2017,7325,3336,3989,90342,3033,1534,1499,112685,12549,1547,11002,129119,5375,8917,-3542,111060,6095,8843,-2748,114778
Tue,12/26/2017,4905,3278,1627,91969,11764,5568,6196,118881,1992,5570,-3578,125541,0,5131,-5131,105929,6383,7710,-1327,113451
Wed,12/27/2017,4797,7754,-2957,89012,3996,6385,-2389,116492,9078,7047,2031,127572,6608,0,6608,112537,6274,9027,-2753,110698
Thu,12/28/2017,4253,8780,-4527,84485,1589,6509,-4920,111572,6174,4867,1307,128879,7988,6305,1683,114220,6256,10717,-4461,106237
Fri,12/29/2017,5652,4017,1635,86120,7127,2840,4287,115859,3497,6973,-3476,125403,0,17552,-17552,96668,4932,5818,-886,105351
Sat,12/30/2017,5355,6343,-988,85132,18126,18957,-831,115028,4755,4037,718,126121,8033,10939,-2906,93762,5898,1520,4378,109729
Sun,12/31/2017,5315,3628,1687,86819,5510,10499,-4989,110039,8618,8536,82,126203,2282,0,2282,96044,10525,9694,831,110560
Mon,1/1/2018,9533,2667,6866,93685,8483,8195,288,110327,8230,4263,3967,130170,2354,2269,85,96129,13695,8508,5187,115747
Tue,1/2/2018,0,10135,-10135,83550,9125,3563,5562,115889,4078,11565,-7487,122683,5100,1897,3203,99332,4169,2147,2022,117769
Wed,1/3/2018,13136,5268,7868,91418,1790,3820,-2030,113859,4681,12207,-7526,115157,11087,7812,3275,102607,9758,7675,2083,119852
Thu,1/4/2018,4356,4096,260,91678,4526,2360,2166,116025,6112,6456,-344,114813,9542,0,9542,112149,4175,5565,-1390,118462
Fri,1/5/2018,2168,2303,-135,91543,11291,14153,-2862,113163,7022,4561,2461,117274,4638,7472,-2834,109315,1410,11195,-9785,108677
Sat,1/6/2018,2722,7787,-5065,86478,10725,687,10038,123201,14588,3383,11205,128479,6850,4366,2484,111799,8859,0,8859,117536
Sun,1/7/2018,7041,3330,3711,90189,1675,5490,-3815,119386,8566,5289,3277,131756,7328,0,7328,119127,10440,3478,6962,124498
Mon,1/8/2018,0,0,0,90189,5306,2831,2475,121861,4264,1309,2955,134711,26663,7907,18756,137883,11049,6243,4806,129304
Tue,1/9/2018,5934,4538,1396,91585,4717,9435,-4718,117143,11689,10915,774,135485,0,4495,-4495,133388,5948,0,5948,135252
Wed,1/10/2018,3847,3490,357,91942,11308,6227,5081,122224,14422,7246,7176,142661,0,2053,-2053,131335,5194,18971,-13777,121475
Thu,1/11/2018,3797,5294,-1497,90445,842,3536,-2694,119530,6651,2785,3866,146527,1856,8102,-6246,125089,11597,7637,3960,125435
Fri,1/12/2018,7840,5894,1946,92391,19344,8729,10615,130145,2856,2520,336,146863,4525,10738,-6213,118876,1884,8123,-6239,119196
Sat,1/13/2018,0,6341,-6341,86050,17641,6230,11411,141556,11622,4916,6706,153569,9068,8318,750,119626,5766,0,5766,124962
Sun,1/14/2018,9248,4077,5171,91221,4564,11710,-7146,134410,16322,22192,-5870,147699,7059,3154,3905,123531,8405,7226,1179,126141
